stimulus,condition,rt1,resp1,rt2,resp2,rt3,resp3,rt4,resp4,rt5,resp5,enter_rt,enter_resp,unknown,subject,session
43739,2,2445,4,195,3,212,7,181,3,185,9,246,-35,,1,1
71927,2,1839,7,258,1,194,9,430,2,194,7,274,-35,,1,1
52697,0,1057,5,240,2,294,6,221,9,230,7,243,-35,,1,1
23863,2,819,2,236,3,662,8,263,6,203,3,214,-35,,1,1
65658,2,863,6,213,5,217,6,225,5,189,8,210,-35,,1,1
18631,2,782,1,212,8,21,5,1932,6,271,3,330,1,,1,1
56387,2,987,5,200,6,221,3,225,8,217,7,219,-35,,1,1
87145,0,1104,8,840,1,171,4,198,5,216,-35,0,-48,,1,1
14273,2,775,1,526,4,249,2,271,7,618,3,201,-35,,1,1
27425,2,977,2,240,7,543,4,186,2,530,5,343,-35,,1,1
97374,2,1490,9,280,7,8,8,303,3,298,7,244,4,,1,1
26569,2,875,2,199,6,253,5,340,6,217,9,251,-35,,1,1
74638,2,968,7,275,4,450,6,348,2,458,9,293,-35,,1,1
12592,0,749,1,236,2,248,5,327,9,403,2,224,-35,,1,1
46563,2,1203,4,222,6,244,5,254,6,226,3,215,-35,,1,1
42587,2,790,4,213,2,244,5,244,8,703,7,243,-35,,1,1
84612,2,988,8,317,4,340,6,244,1,208,2,201,-35,,1,1
45618,2,1159,4,204,5,208,6,207,1,181,8,274,-35,,1,1
65695,0,924,5,35,2,385,3,421,5,400,9,312,5,,1,1
97426,2,1455,9,380,7,331,4,226,2,190,6,264,-35,,1,1
63787,2,1080,6,258,3,366,7,340,8,258,7,256,-35,,1,1
18745,2,667,1,216,8,249,7,231,4,221,5,251,-35,,1,1
71461,0,999,7,244,1,216,4,550,6,202,1,238,-35,,1,1
65846,2,1259,6,244,5,203,8,244,4,185,6,247,-35,,1,1
56386,2,794,5,276,6,272,3,248,8,235,6,261,-35,,1,1
38456,2,839,3,376,8,462,4,327,5,185,6,310,-35,,1,1
63784,2,843,6,267,3,275,7,231,8,258,4,301,-35,,1,1
84563,2,970,8,298,4,326,5,254,6,263,3,223,-35,,1,1
18126,2,703,1,230,8,285,1,267,2,267,6,265,-35,,1,1
58638,0,742,5,261,8,291,6,330,3,335,8,297,-35,,1,1
43738,2,996,4,318,3,398,7,259,3,289,8,288,-35,,1,1
42745,0,798,4,254,2,312,7,299,4,212,5,306,-35,,1,1
14263,0,661,1,257,4,345,1,676,2,281,6,235,3,,1,1
59737,0,1084,5,526,9,399,7,340,3,280,7,261,-35,,1,1
69592,2,1099,6,353,9,339,5,272,9,367,2,293,-35,,1,1
31439,2,1029,3,330,1,403,4,272,3,267,9,324,-35,,1,1
78469,2,859,7,386,8,353,4,268,6,207,9,283,-35,,1,1
31237,2,729,3,293,1,290,2,295,3,476,7,233,-35,,1,1
69439,0,855,6,727,9,503,4,623,3,276,9,365,-35,,1,1
81818,0,1342,8,235,1,290,8,312,1,271,8,293,-35,,1,1
27863,2,889,2,331,7,262,8,759,6,280,3,343,-35,,1,1
74565,2,1264,7,385,4,367,5,272,6,281,5,270,-35,,1,1
26525,2,754,2,303,6,276,5,249,2,307,5,288,-35,,1,1
92637,2,912,9,327,2,235,6,272,3,279,7,257,-35,,1,1
43973,2,870,4,241,3,271,9,276,7,276,3,252,-35,,1,1
38186,0,789,3,362,8,167,8,321,1,244,8,267,6,,1,1
97195,2,1407,9,303,7,353,1,227,9,239,5,261,-35,,1,1
52319,2,783,5,258,2,245,3,253,1,185,9,265,-35,,1,1
25631,2,796,2,322,5,290,6,262,3,225,1,284,-35,,1,1
87374,2,1091,8,245,7,258,3,257,7,240,4,243,-35,,1,1
71431,2,1011,7,263,1,244,4,258,3,239,1,266,-35,,1,1
92394,2,998,9,284,2,286,3,435,9,253,4,328,-35,,1,1
86595,2,1644,8,504,6,317,5,325,9,253,5,334,-35,,1,1
26314,2,726,2,286,6,326,3,290,1,207,4,261,-35,,1,1
59586,2,1071,5,313,9,267,5,267,8,239,4,552,-35,,1,1
14263,0,879,1,299,4,276,2,235,6,245,3,260,-35,,1,1
38186,0,1274,3,258,8,290,1,240,8,622,6,323,-35,,1,1
42659,2,820,4,272,2,331,6,412,5,259,9,388,-35,,1,1
52743,2,771,5,285,2,326,7,335,4,254,3,328,-35,,1,1
81818,0,802,8,289,1,241,8,262,1,239,8,275,-35,,1,1
95873,2,1060,9,239,5,303,8,263,7,249,3,315,-35,,1,1
23192,2,754,2,254,3,248,1,231,9,253,2,265,-35,,1,1
71271,2,1152,7,303,1,227,2,261,7,268,1,215,-35,,1,1
92581,2,1350,9,322,2,217,5,198,8,217,1,215,-35,,1,1
12592,0,643,1,236,2,344,5,235,9,294,2,261,-35,,1,1
95252,2,964,9,262,5,249,2,303,5,276,2,270,-35,,1,1
69439,0,1111,6,308,9,349,4,363,3,317,9,375,-35,,1,1
86971,2,1502,8,445,6,386,9,375,7,349,1,238,-35,,1,1
