sub,run,condition,gain,loss,RT,accept,response_int,participant_response
001,01,equalIndifference,14,6,2.388,1,3.0,weakly_accept
001,01,equalIndifference,34,14,2.289,1,4.0,strongly_accept
001,01,equalIndifference,34,13,1.873,1,4.0,strongly_accept
001,01,equalIndifference,10,10,1.457,0,2.0,weakly_reject
001,01,equalIndifference,12,19,1.973,0,1.0,strongly_reject
001,01,equalIndifference,20,8,1.767,1,3.0,weakly_accept
001,01,equalIndifference,28,9,1.561,1,4.0,strongly_accept
001,01,equalIndifference,20,15,2.289,1,3.0,weakly_accept
001,01,equalIndifference,10,7,2.287,1,3.0,weakly_accept
001,01,equalIndifference,16,6,2.08,1,3.0,weakly_accept
001,01,equalIndifference,16,5,1.871,1,3.0,weakly_accept
001,01,equalIndifference,10,15,2.08,0,1.0,strongly_reject
001,01,equalIndifference,16,17,2.288,0,2.0,weakly_reject
001,01,equalIndifference,20,9,2.807,1,3.0,weakly_accept
001,01,equalIndifference,24,13,2.08,1,3.0,weakly_accept
001,01,equalIndifference,18,20,1.872,0,2.0,weakly_reject
001,01,equalIndifference,22,10,2.393,1,4.0,strongly_accept
001,01,equalIndifference,38,14,2.079,1,4.0,strongly_accept
001,01,equalIndifference,38,9,1.458,1,4.0,strongly_accept
001,01,equalIndifference,28,5,1.766,1,4.0,strongly_accept
001,01,equalIndifference,32,20,2.495,1,3.0,weakly_accept
001,01,equalIndifference,32,13,2.806,1,3.0,weakly_accept
001,01,equalIndifference,14,9,3.223,1,3.0,weakly_accept
001,01,equalIndifference,32,5,1.454,1,4.0,strongly_accept
001,01,equalIndifference,20,7,2.803,1,3.0,weakly_accept
001,01,equalIndifference,36,8,2.287,1,4.0,strongly_accept
001,01,equalIndifference,30,8,2.806,1,4.0,strongly_accept
001,01,equalIndifference,28,8,2.597,1,4.0,strongly_accept
001,01,equalIndifference,24,17,2.392,1,3.0,weakly_accept
001,01,equalIndifference,26,16,1.978,1,3.0,weakly_accept
001,01,equalIndifference,38,6,1.349,1,4.0,strongly_accept
001,01,equalIndifference,30,14,2.914,1,3.0,weakly_accept
