sub,run,gain,loss,RT,participant_response
001,01,14,6,2.388,weakly_accept
001,01,34,14,2.289,strongly_accept
001,01,34,13,1.873,strongly_accept
001,01,10,10,1.457,weakly_reject
001,01,12,19,1.973,strongly_reject
001,01,20,8,1.767,weakly_accept
001,01,28,9,1.561,strongly_accept
001,01,20,15,2.289,weakly_accept
001,01,10,7,2.287,weakly_accept
001,01,16,6,2.08,weakly_accept
001,01,16,5,1.871,weakly_accept
001,01,10,15,2.08,strongly_reject
001,01,16,17,2.288,weakly_reject
001,01,20,9,2.807,weakly_accept
001,01,24,13,2.08,weakly_accept
001,01,18,20,1.872,weakly_reject
001,01,22,10,2.393,strongly_accept
001,01,38,14,2.079,strongly_accept
001,01,38,9,1.458,strongly_accept
001,01,28,5,1.766,strongly_accept
001,01,32,20,2.495,weakly_accept
001,01,32,13,2.806,weakly_accept
001,01,14,9,3.223,weakly_accept
001,01,32,5,1.454,strongly_accept
001,01,20,7,2.803,weakly_accept
001,01,36,8,2.287,strongly_accept
001,01,30,8,2.806,strongly_accept
001,01,28,8,2.597,strongly_accept
001,01,24,17,2.392,weakly_accept
001,01,26,16,1.978,weakly_accept
001,01,38,6,1.349,strongly_accept
001,01,30,14,2.914,weakly_accept
001,01,36,7,1.456,strongly_accept
001,01,14,14,2.185,weakly_reject
001,01,26,9,3.116,strongly_accept
001,01,40,18,3.119,strongly_accept
001,01,24,14,2.077,weakly_accept
001,01,36,10,1.56,strongly_accept
001,01,16,16,1.976,weakly_reject
001,01,20,20,2.7,weakly_reject
001,01,28,17,1.974,weakly_accept
001,01,12,9,1.766,weakly_accept
001,01,32,14,1.56,weakly_accept
001,01,36,12,1.247,strongly_accept
001,01,38,15,2.184,strongly_accept
001,01,32,12,1.977,strongly_accept
001,01,28,20,1.766,weakly_accept
001,01,38,19,0.0,NoResp
001,01,12,10,1.664,weakly_accept
001,01,40,12,1.143,strongly_accept
001,01,34,19,1.353,weakly_accept
001,01,22,11,1.452,weakly_accept
001,01,24,9,0.937,strongly_accept
001,01,16,13,1.56,weakly_accept
001,01,22,19,1.351,weakly_accept
001,01,22,8,1.663,strongly_accept
001,01,10,20,1.765,strongly_reject
001,01,20,5,1.873,strongly_accept
001,01,30,10,1.141,strongly_accept
001,01,18,14,1.764,weakly_accept
001,01,34,8,1.666,strongly_accept
001,01,30,17,1.249,strongly_accept
001,01,10,18,1.247,strongly_reject
001,01,38,20,1.663,weakly_accept
001,02,40,17,1.144,strongly_accept
001,02,18,10,1.247,weakly_accept
001,02,34,12,1.56,strongly_accept
001,02,14,10,1.561,weakly_accept
001,02,30,16,1.77,weakly_accept
001,02,36,14,1.352,strongly_accept
001,02,30,11,1.249,strongly_accept
001,02,30,20,1.353,weakly_accept
001,02,20,18,1.767,weakly_accept
001,02,32,11,1.56,strongly_accept
001,02,26,11,1.247,strongly_accept
001,02,22,18,1.559,weakly_accept
001,02,18,11,1.145,weakly_accept
001,02,36,11,1.247,strongly_accept
001,02,38,13,1.351,strongly_accept
001,02,12,6,1.561,weakly_accept
001,02,16,20,2.079,strongly_reject
001,02,10,16,2.078,strongly_reject
001,02,40,10,1.142,strongly_accept
001,02,12,8,1.871,weakly_reject
001,02,30,18,1.766,weakly_accept
001,02,34,15,1.765,weakly_accept
001,02,20,16,1.456,weakly_accept
001,02,32,7,1.248,strongly_accept
001,02,16,9,1.456,weakly_accept
001,02,30,12,1.352,strongly_accept
001,02,36,19,1.142,strongly_accept
001,02,12,18,1.767,strongly_reject
001,02,26,5,1.142,strongly_accept
001,02,40,15,1.248,strongly_accept
001,02,12,15,1.973,weakly_reject
001,02,18,8,1.457,weakly_accept
001,02,34,20,1.559,weakly_accept
001,02,20,6,1.974,strongly_accept
001,02,16,11,1.142,weakly_accept
001,02,38,18,1.972,weakly_accept
001,02,16,15,1.768,weakly_accept
001,02,18,6,1.767,strongly_accept
001,02,36,9,1.038,strongly_accept
001,02,10,19,1.561,strongly_reject
001,02,30,7,1.04,strongly_accept
001,02,16,7,1.455,weakly_accept
001,02,28,16,1.455,weakly_accept
001,02,20,11,1.351,weakly_accept
001,02,26,18,1.767,weakly_accept
001,02,40,5,1.146,strongly_accept
001,02,26,13,1.662,strongly_accept
001,02,24,15,1.351,weakly_accept
001,02,18,17,1.974,weakly_accept
001,02,12,14,1.977,weakly_reject
001,02,34,7,1.249,strongly_accept
001,02,40,7,1.246,strongly_accept
001,02,28,7,2.287,strongly_accept
001,02,22,16,1.665,weakly_accept
001,02,16,8,1.872,weakly_accept
001,02,10,12,1.455,weakly_reject
001,02,24,6,1.666,strongly_accept
001,02,28,18,1.767,weakly_accept
001,02,40,8,0.936,strongly_accept
001,02,14,18,1.767,weakly_reject
001,02,24,11,1.456,weakly_accept
001,02,24,16,1.455,weakly_accept
001,02,24,20,1.768,weakly_accept
001,02,32,15,1.664,strongly_accept
001,03,20,14,1.456,weakly_accept
001,03,32,18,1.867,weakly_accept
001,03,34,18,1.769,strongly_accept
001,03,36,15,2.287,strongly_accept
001,03,10,5,1.456,weakly_accept
001,03,16,12,1.25,weakly_accept
001,03,26,8,1.872,strongly_accept
001,03,40,6,1.04,strongly_accept
001,03,10,14,1.457,weakly_reject
001,03,26,10,2.496,strongly_accept
001,03,20,12,1.249,weakly_accept
001,03,18,9,1.663,weakly_accept
001,03,12,16,1.768,weakly_reject
001,03,34,17,1.663,weakly_accept
001,03,36,6,1.249,strongly_accept
001,03,30,5,1.143,strongly_accept
001,03,14,20,1.662,strongly_reject
001,03,10,8,1.351,weakly_accept
001,03,24,19,1.766,weakly_accept
001,03,22,15,1.245,weakly_accept
001,03,12,12,1.768,weakly_accept
001,03,20,19,2.185,weakly_accept
001,03,32,16,1.665,weakly_accept
001,03,28,12,1.454,strongly_accept
001,03,28,11,1.457,strongly_accept
001,03,40,13,1.248,strongly_accept
001,03,14,5,1.873,weakly_accept
001,03,24,7,1.353,strongly_accept
001,03,32,19,1.456,weakly_accept
001,03,22,12,1.352,weakly_accept
001,03,32,6,0.937,strongly_accept
001,03,22,5,1.04,strongly_accept
001,03,32,9,1.142,strongly_accept
001,03,28,19,1.144,weakly_accept
001,03,26,7,1.559,strongly_accept
001,03,32,17,1.456,weakly_accept
001,03,16,14,1.77,weakly_accept
001,03,12,5,1.56,weakly_accept
001,03,38,10,1.245,strongly_accept
001,03,36,13,1.456,strongly_accept
001,03,16,19,2.08,strongly_reject
001,03,22,17,1.456,weakly_accept
001,03,10,9,1.663,weakly_accept
001,03,40,9,1.248,strongly_accept
001,03,28,14,1.559,weakly_accept
001,03,22,6,1.559,strongly_accept
001,03,14,17,1.561,weakly_reject
001,03,18,18,1.659,weakly_accept
001,03,18,16,1.766,weakly_accept
001,03,24,12,1.769,weakly_accept
001,03,14,11,1.455,weakly_accept
001,03,36,5,0.933,strongly_accept
001,03,30,13,1.456,strongly_accept
001,03,36,17,1.664,weakly_accept
001,03,40,14,1.145,strongly_accept
001,03,10,13,1.456,weakly_reject
001,03,40,19,1.977,weakly_accept
001,03,24,8,1.247,strongly_accept
001,03,38,11,1.975,strongly_accept
001,03,30,15,1.664,weakly_accept
001,03,34,10,1.349,strongly_accept
001,03,22,14,1.768,weakly_accept
001,03,38,5,0.937,strongly_accept
001,03,14,19,1.562,weakly_reject
001,04,28,13,1.352,weakly_accept
001,04,32,8,1.146,strongly_accept
001,04,14,13,1.145,weakly_accept
001,04,18,5,1.246,weakly_accept
001,04,20,13,1.456,weakly_accept
001,04,36,16,2.39,strongly_accept
001,04,12,20,1.458,strongly_reject
001,04,26,17,1.456,weakly_accept
001,04,14,12,1.766,weakly_accept
001,04,12,11,1.248,weakly_accept
001,04,18,15,1.768,weakly_accept
001,04,18,19,1.768,weakly_reject
001,04,28,15,1.664,weakly_accept
001,04,26,19,1.246,weakly_accept
001,04,14,8,1.561,weakly_accept
001,04,10,11,1.249,weakly_reject
001,04,40,11,1.25,strongly_accept
001,04,38,7,1.248,strongly_accept
001,04,10,17,1.352,strongly_reject
001,04,20,17,1.248,weakly_accept
001,04,24,10,1.561,strongly_accept
001,04,30,19,1.659,weakly_accept
001,04,34,9,1.039,strongly_accept
001,04,26,15,1.559,weakly_accept
001,04,16,18,1.978,weakly_reject
001,04,14,16,1.352,weakly_reject
001,04,34,6,1.249,strongly_accept
001,04,24,18,1.456,weakly_accept
001,04,34,5,0.937,strongly_accept
001,04,10,6,1.248,weakly_accept
001,04,26,20,1.354,weakly_accept
001,04,12,13,1.456,weakly_reject
001,04,36,18,1.561,weakly_accept
001,04,22,9,1.559,strongly_accept
001,04,18,12,1.766,weakly_accept
001,04,32,10,1.042,strongly_accept
001,04,38,12,1.56,strongly_accept
001,04,14,7,2.288,weakly_accept
001,04,20,10,1.353,weakly_accept
001,04,12,17,2.287,strongly_reject
001,04,28,10,1.768,strongly_accept
